Rank,Release Group,Worldwide,Domestic,%,Foreign,%
391,Love's Abiding Joy,"$252,726","$252,726",100%,-,-
392,Broken Bridges,"$252,539","$252,539",100%,-,-
393,Drawing Restraint 9,"$251,009","$234,743",93.5%,"$16,266",6.5%
394,Edmond,"$243,524","$131,719",54.1%,"$111,805",45.9%
395,Pyare Mohan,"$241,841","$150,198",62.1%,"$91,643",37.9%
396,Iraq in Fragments,"$240,888","$204,462",84.9%,"$36,426",15.1%
397,Black Gold,"$227,105","$93,477",41.2%,"$133,628",58.8%
398,Unidentified,"$224,099","$224,099",100%,-,-
399,The Genius Club,"$223,827",-,-,"$223,827",100%
400,The Death of Mr. Lazarescu,"$216,922","$80,301",37%,"$136,621",63%
401,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"$212,780","$144,601",68%,"$68,179",32%
402,The Journals of Knud Rasmussen,"$209,478","$209,478",100%,-,-
403,Tamara,"$206,871","$206,871",100%,-,-
404,The Bridge,"$205,724","$179,780",87.4%,"$25,944",12.6%
405,Glastonbury,"$202,041","$8,419",4.2%,"$193,622",95.8%
406,Haven,"$197,312","$142,483",72.2%,"$54,829",27.8%
407,The Puffy Chair,"$195,254","$194,523",99.6%,$731,0.4%
408,In the Pit,"$194,258","$10,433",5.4%,"$183,825",94.6%
409,Awesome; I Fuckin' Shot That!,"$177,683","$162,538",91.5%,"$15,145",8.5%
410,Lonesome Jim,"$174,815","$154,187",88.2%,"$20,628",11.8%
411,The Fallen Idol,"$173,566","$141,502",81.5%,"$32,064",18.5%
412,The Great New Wonderful,"$172,055","$150,142",87.3%,"$21,913",12.7%
413,Our Brand Is Crisis,"$166,750","$166,750",100%,-,-
414,Come Early Morning,"$161,408","$119,452",74%,"$41,956",26%
415,Broken Sky,"$160,445","$29,185",18.2%,"$131,260",81.8%
416,Cocaine Cowboys,"$160,347","$150,056",93.6%,"$10,291",6.4%
417,Mountain Patrol 2006 Re-release,"$159,460","$143,383",89.9%,"$16,077",10.1%
418,2005 Academy Award Nominated Short Films,"$157,415","$157,415",100%,-,-
419,Il ne faut jurer... de rien! 2006 Re-release,"$155,878","$23,442",15%,"$132,436",85%
420,El Topo,"$155,820","$80,302",51.5%,"$75,518",48.5%
